tourney_id	tourney_name	surface	draw_size	tourney_level	tourney_date	match_num	winner_id	winner_seed	winner_entry	winner_name	winner_hand	winner_ht	winner_ioc	winner_age	winner_rank	winner_rank_points	loser_id	loser_seed	loser_entry	loser_name	loser_hand	loser_ht	loser_ioc	loser_age	loser_rank	loser_rank_points	score	best_of	round	minutes	w_ace	w_df	w_svpt	w_1stIn	w_1stWon	w_2ndWon	w_SvGms	w_bpSaved	w_bpFaced	l_ace	l_df	l_svpt	l_1stIn	l_1stWon	l_2ndWon	l_SvGms	l_bpSaved	l_bpFaced	wid	lid	atp_match_num	no_sets	no_tiebreaks	
2017-301	Auckland	Hard	28	A	20170109	300	106058	4		Jack Sock	R	191	USA	24.2929500342	23	1710	105311			Joao Sousa	R	185	POR	27.780971937	44	1030	6-3 5-7 6-3	3	F	116	13	3	78	54	43	11	15	1	4	10	3	95	60	40	14	15	4	9	MS001	3	0	
2017-301	Auckland	Hard	28	A	20170109	299	106058	4		Jack Sock	R	191	USA	24.2929500342	23	1710	105449	7		Steve Johnson	R	188	USA	27.0444900753	33	1320	6-4 6-3	3	SF	71	2	3	57	30	23	16	9	1	1	3	4	52	33	26	9	10	1	4	MS003	2	0	
2017-301	Auckland	Hard	28	A	20170109	298	105311			Joao Sousa	R	185	POR	27.780971937	44	1030	104571	8		Marcos Baghdatis	R	178	CYP	31.5646817248	36	1140	6-1 7-5	3	SF	73	3	2	59	41	32	11	10	1	1	1	5	48	21	15	13	9	1	4	MS002	2	0	
2017-301	Auckland	Hard	28	A	20170109	297	105449	7		Steve Johnson	R	188	USA	27.0444900753	33	1320	104545	2		John Isner	R	208	USA	31.7070499658	19	1850	6-3 5-7 7-6(3)	3	QF	134	12	2	94	60	51	22	17	1	2	19	4	105	78	59	15	16	9	10	MS007	3	1	
2017-301	Auckland	Hard	28	A	20170109	296	106058	4		Jack Sock	R	191	USA	24.2929500342	23	1710	104871			Jeremy Chardy	R	188	FRA	29.9082819986	71	705	5-7 6-4 6-3	3	QF	130	12	2	87	57	43	18	15	2	4	14	7	131	86	54	23	16	21	25	MS006	3	0	
2017-301	Auckland	Hard	28	A	20170109	295	104571	8		Marcos Baghdatis	R	178	CYP	31.5646817248	36	1140	106210			Jiri Vesely	L	198	CZE	23.5017111567	54	848	6-2 6-4	3	QF	70	12	1	45	27	24	12	9	0	0	5	1	59	40	23	9	9	4	7	MS004	2	0	
2017-301	Auckland	Hard	28	A	20170109	294	105311			Joao Sousa	R	185	POR	27.780971937	44	1030	104898			Robin Haase	R	191	NED	29.7631759069	58	795	6-3 6-2	3	QF	57	1	0	53	32	26	13	9	2	2	5	2	45	29	19	7	8	3	6	MS005	2	0	
2017-301	Auckland	Hard	28	A	20170109	293	104545	2		John Isner	R	208	USA	31.7070499658	19	1850	104291			Malek Jaziri	R	185	TUN	32.9719370294	56	814	6-3 3-6 7-6(6)	3	R16	117	22	0	87	68	55	13	15	4	5	15	6	95	54	44	24	15	3	4	MS015	3	1	
2017-301	Auckland	Hard	28	A	20170109	292	104898			Robin Haase	R	191	NED	29.7631759069	58	795	103970	3		David Ferrer	R	175	ESP	34.7734428474	21	1785	2-6 6-4 7-6(4)	3	R16	121	11	2	104	66	48	21	15	6	9	4	2	98	72	52	13	15	5	7	MS010	3	1	
2017-301	Auckland	Hard	28	A	20170109	291	106058	4		Jack Sock	R	191	USA	24.2929500342	23	1710	105992		Q	Ryan Harrison	R	185	USA	24.6762491444	89	632	7-6(5) 4-6 6-1	3	R16	126	11	6	105	61	42	25	15	4	7	17	1	87	61	47	8	14	2	6	MS013	3	1	
