tourney_id	tourney_name	surface	draw_size	tourney_level	tourney_date	match_num	winner_id	winner_seed	winner_entry	winner_name	winner_hand	winner_ht	winner_ioc	winner_age	winner_rank	winner_rank_points	loser_id	loser_seed	loser_entry	loser_name	loser_hand	loser_ht	loser_ioc	loser_age	loser_rank	loser_rank_points	score	best_of	round	minutes	w_ace	w_df	w_svpt	w_1stIn	w_1stWon	w_2ndWon	w_SvGms	w_bpSaved	w_bpFaced	l_ace	l_df	l_svpt	l_1stIn	l_1stWon	l_2ndWon	l_SvGms	l_bpSaved	l_bpFaced	wid	lid	atp_match_num	no_sets	no_tiebreaks	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	285	104925	1		Novak Djokovic	R	188	SRB	28	1	15550	106432			Borna Coric	R	185	CRO	19	40	1015	6-2 6-4	3	R32	78	2	4	49	26	22	16	9	1	5	4	0	50	28	18	10	9	2	1	MS016	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	270	104918	2		Andy Murray	R	191	GBR	28	2	8175	103285			Radek Stepanek	R	185	CZE	37	141	405	7-6(3) 3-6 6-1	3	R32	137	11	2	96	57	43	21	14	8	8	4	5	81	53	40	13	14	5	10	MS031	3	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	281	106401			Nick Kyrgios	R	193	AUS	20	20	1765	104527	4		Stan Wawrinka	R	183	SUI	31	4	6460	7-6(7) 7-6(2)	3	R32	105	7	3	85	60	51	14	12	4	0	11	2	73	41	35	20	12	0	4	MS020	2	2	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	277	104745	5		Rafael Nadal	L	185	ESP	29	5	5915	105723			Andrey Kuznetsov	R	185	RUS	25	39	1015	6-3 6-3	3	R32	78	4	0	41	33	28	8	9	0	8	0	4	62	34	23	13	9	5	0	MS024	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	278	105453	6		Kei Nishikori	R	178	JPN	26	6	4290	104926			Fabio Fognini	R	178	ITA	28	30	1240	6-2 3-6 7-5	3	R32	132	3	4	96	64	46	13	14	11	13	3	1	111	66	41	22	15	9	13	MS023	3	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	282	104542	7		Jo-Wilfried Tsonga	R	188	FRA	31	7	3400	105077			Albert Ramos-Vinolas	L	188	ESP	28	57	853	7-6(6) 5-7 6-4	3	R32	162	11	2	115	73	53	27	17	5	7	2	2	113	78	56	22	17	5	7	MS019	3	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	273	104607	8		Tomas Berdych	R	196	CZE	30	8	3120	104797			Denis Istomin	R	188	UZB	29	73	721	6-3 6-3	3	R32	69	4	0	47	29	23	11	9	0	5	4	1	49	32	20	6	9	1	1	MS028	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	272	103970	9		David Ferrer	R	175	ESP	34	9	3010	106045			Denis Kudla	R	180	USA	23	61	794	6-4 4-6 6-4	3	R32	135	2	3	80	49	37	20	15	1	11	5	2	108	70	48	17	15	8	3	MS029	3	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	279	104755	10		Richard Gasquet	R	185	FRA	29	10	2840	104269			Fernando Verdasco	L	185	ESP	32	51	900	6-4 3-6 6-1	3	R32	108	4	0	74	53	42	10	13	2	4	3	1	78	55	38	11	13	1	3	MS022	3	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	283	105683	11		Milos Raonic	R	196	CAN	25	11	2740	105238			Alexandr Dolgopolov	R	180	UKR	27	28	1330	6-4 6-7(3) 6-2	3	R32	122	17	2	95	70	56	14	15	4	6	7	1	95	56	39	24	15	3	4	MS018	3	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	280	104655			Pablo Cuevas	R	180	URU	30	25	1510	104792	13		Gael Monfils	R	193	FRA	29	14	2460	6-7(5) 6-3 7-6(4)	3	R32	169	8	0	102	75	60	19	17	0	7	9	5	110	75	57	18	16	5	1	MS021	3	2	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	284	105138	15		Roberto Bautista Agut	R	183	ESP	28	17	2015	103852			Feliciano Lopez	L	188	ESP	34	23	1585	6-3 5-7 7-5	3	R32	148	4	4	107	68	54	20	17	4	5	5	0	106	59	42	25	16	3	5	MS017	3	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	271	104468	16		Gilles Simon	R	183	FRA	31	18	1900	105807			Pablo Carreno Busta	R	188	ESP	24	50	919	2-6 6-3 6-4	3	R32	109	1	1	79	45	30	23	14	2	3	6	0	72	46	34	16	13	1	4	MS030	3	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	276	105023			Sam Querrey	R	198	USA	28	37	1090	106298			Lucas Pouille	R	185	FRA	22	56	860	6-7(5) 6-3 6-4	3	R32	109	15	2	100	59	47	23	16	1	9	7	5	102	57	41	27	15	6	2	MS025	3	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	275	106058			Jack Sock	R	191	USA	23	26	1425	105223			Juan Martin del Potro	R	198	ARG	27	337	140	6-4 7-6(2)	3	R32	96	5	4	74	50	42	11	11	2	3	5	0	69	47	39	7	11	2	2	MS026	2	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	274	105311			Joao Sousa	R	185	POR	27	34	1181	104719			Marcel Granollers	R	191	ESP	30	54	871	6-3 6-3	3	R32	73	2	1	56	37	28	12	9	3	7	1	0	49	35	23	5	9	3	4	MS027	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	242	103970	9		David Ferrer	R	175	ESP	34	9	3010	104198			Guillermo Garcia-Lopez	R	185	ESP	32	47	955	3-6 6-1 6-2	3	R64	108	0	2	71	44	31	14	12	1	10	2	1	75	41	25	15	12	5	3	MS059	3	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	257	104755	10		Richard Gasquet	R	185	FRA	29	10	2840	106148			Roberto Carballes Baena	R	180	ESP	23	119	506	6-1 7-6(5)	3	R64	108	3	2	70	48	38	12	10	3	6	4	3	62	34	22	17	9	4	3	MS044	2	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	265	105683	11		Milos Raonic	R	196	CAN	25	11	2740	105064			Thomaz Bellucci	L	188	BRA	28	35	1165	7-6(4) 6-1	3	R64	82	5	1	52	37	31	9	9	0	6	3	0	64	42	25	12	10	3	0	MS036	2	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	250	106298			Lucas Pouille	R	185	FRA	22	56	860	105676	12		David Goffin	R	180	BEL	25	13	2605	7-6(4) 2-6 7-6(7)	3	R64	148	10	1	110	72	52	17	16	9	10	8	2	116	76	52	21	16	7	14	MS051	3	2	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	258	104792	13		Gael Monfils	R	193	FRA	29	14	2460	104731			Kevin Anderson	R	203	RSA	29	19	1840	6-4 6-1	3	R64	69	5	1	47	30	25	12	9	0	6	6	2	49	30	20	6	8	3	0	MS043	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	249	105223			Juan Martin del Potro	R	198	ARG	27	337	140	106233	14		Dominic Thiem	R	185	AUT	22	15	2420	7-6(5) 6-3	3	R64	104	10	1	84	59	44	15	11	7	6	3	4	65	40	31	15	10	5	7	MS052	2	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	266	105138	15		Roberto Bautista Agut	R	183	ESP	28	17	2015	105053			Santiago Giraldo	R	188	COL	28	97	579	6-3 7-5	3	R64	103	2	0	66	49	34	8	11	1	11	3	2	77	46	32	11	10	7	3	MS035	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	241	104468	16		Gilles Simon	R	183	FRA	31	18	1900	104571			Marcos Baghdatis	R	178	CYP	30	38	1057	6-3 3-6 6-4	3	R64	145	4	0	99	57	37	24	14	6	7	8	3	88	53	36	20	14	4	8	MS060	3	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	240	105807			Pablo Carreno Busta	R	188	ESP	24	50	919	105777			Grigor Dimitrov	R	191	BUL	24	29	1295	7-6(3) 6-3	3	R64	101	5	4	76	48	40	12	11	5	9	6	2	79	57	36	12	10	7	6	MS061	2	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	268	106432			Borna Coric	R	185	CRO	19	40	1015	104597			Nicolas Almagro	R	183	ESP	30	71	739	6-2 6-2	3	R64	62	6	1	40	31	27	7	8	2	6	5	2	49	27	20	6	8	2	2	MS033	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	259	104655			Pablo Cuevas	R	180	URU	30	25	1510	104259			Philipp Kohlschreiber	R	178	GER	32	27	1420	6-3 3-6 7-6(5)	3	R64	116	9	5	90	44	37	29	15	3	2	10	1	94	51	41	24	15	1	4	MS042	3	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	264	105238			Alexandr Dolgopolov	R	180	UKR	27	28	1330	105449			Steve Johnson	R	188	USA	26	32	1225	3-6 6-3 7-6(4)	3	R64	116	8	3	98	49	37	30	15	2	4	7	2	88	64	48	15	15	2	4	MS037	3	1	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	255	104926			Fabio Fognini	R	178	ITA	28	30	1240	106071			Bernard Tomic	R	196	AUS	23	22	1625	6-2 6-4	3	R64	55	4	4	48	26	22	15	9	1	5	4	1	49	35	25	5	9	2	1	MS046	2	0	
2016-1536	ATP World Tour Masters 1000 Madrid	Clay	56	M	20160501	244	104797			Denis Istomin	R	188	UZB	29	73	721	104559			Teymuraz Gabashvili	R	188	RUS	30	53	878	6-1 6-4	3	R64	60	11	2	53	37	31	8	9	1	6	0	4	44	29	20	6	8	3	1	MS057	2	0	
