tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-339,Brisbane,Hard,28,A,20160104,MS001,105683,4,,Milos Raonic,R,196,CAN,25,14,2170,103819,1,,Roger Federer,R,185,SUI,34,3,8265,64 64,3,F,87,6,6,60,34,28,14,10,1,5,7,3,61,34,25,14,10,3,1
2016-339,Brisbane,Hard,28,A,20160104,MS002,103819,1,,Roger Federer,R,185,SUI,34,3,8265,106233,8,,Dominic Thiem,R,185,AUT,22,20,1600,61 64,3,SF,61,6,0,49,27,23,12,9,0,6,2,4,55,31,18,9,8,2,1
2016-339,Brisbane,Hard,28,A,20160104,MS003,105683,4,,Milos Raonic,R,196,CAN,25,14,2170,106071,7,,Bernard Tomic,R,196,AUS,23,18,1675,76(5) 76(5),3,SF,108,13,3,79,49,40,19,12,4,2,10,3,84,54,41,16,12,2,4
2016-339,Brisbane,Hard,28,A,20160104,MS004,103819,1,,Roger Federer,R,185,SUI,34,3,8265,105777,,,Grigor Dimitrov,R,191,BUL,24,28,1360,64 67(4) 64,3,QF,128,7,1,83,52,45,19,16,0,11,8,2,104,62,46,21,16,8,1
2016-339,Brisbane,Hard,28,A,20160104,MS005,106233,8,,Dominic Thiem,R,185,AUT,22,20,1600,105227,3,,Marin Cilic,R,198,CRO,27,13,2405,26 76(4) 64,3,QF,120,6,0,84,55,41,20,15,0,8,11,2,98,52,41,27,15,7,2
2016-339,Brisbane,Hard,28,A,20160104,MS006,105683,4,,Milos Raonic,R,196,CAN,25,14,2170,106298,,,Lucas Pouille,R,185,FRA,21,78,672,64 64,3,QF,77,12,4,52,29,27,12,10,0,8,6,4,73,43,33,9,10,5,1
2016-339,Brisbane,Hard,28,A,20160104,MS007,106071,7,,Bernard Tomic,R,196,AUS,23,18,1675,105453,2,,Kei Nishikori,R,178,JPN,26,8,4235,63 16 63,3,QF,120,14,1,97,62,45,13,13,8,10,5,3,84,52,35,15,12,7,11
2016-339,Brisbane,Hard,28,A,20160104,MS008,103819,1,,Roger Federer,R,185,SUI,34,3,8265,104735,,,Tobias Kamke,R,178,GER,,,,62 61,3,R16,55,2,1,40,22,18,12,7,1,6,2,4,46,27,15,6,8,1,1
2016-339,Brisbane,Hard,28,A,20160104,MS009,105777,,,Grigor Dimitrov,R,191,BUL,24,28,1360,104678,,,Viktor Troicki,R,193,SRB,29,22,1487,57 76(6) 62,3,R16,168,9,4,117,70,51,25,16,5,9,9,1,120,76,51,23,16,6,7
2016-339,Brisbane,Hard,28,A,20160104,MS010,105227,3,,Marin Cilic,R,198,CRO,27,13,2405,111202,,,Hyeon Chung,R,185,KOR,19,51,817,75 76(3),3,R16,107,18,3,77,44,37,16,12,4,9,5,2,79,50,36,15,12,6,6
2016-339,Brisbane,Hard,28,A,20160104,MS011,106233,8,,Dominic Thiem,R,185,AUT,22,20,1600,106045,,,Denis Kudla,R,180,USA,23,69,719,63 62,3,R16,57,7,1,45,33,28,8,9,0,5,0,2,48,27,19,8,8,2,0
2016-339,Brisbane,Hard,28,A,20160104,MS012,106298,,,Lucas Pouille,R,185,FRA,21,78,672,105676,6,,David Goffin,R,180,BEL,25,16,1880,76(5) 46 63,3,R16,123,13,4,106,57,45,24,15,9,4,9,1,92,50,40,20,16,1,11
2016-339,Brisbane,Hard,28,A,20160104,MS013,105683,4,,Milos Raonic,R,196,CAN,25,14,2170,104471,,,Ivan Dodig,R,183,CRO,31,87,636,67(2) 61 64,3,R16,146,17,5,106,62,51,23,15,3,10,11,2,100,66,47,17,14,7,3
2016-339,Brisbane,Hard,28,A,20160104,MS014,106071,7,,Bernard Tomic,R,196,AUS,23,18,1675,103285,,,Radek Stepanek,R,185,CZE,,,,76(6) 46 76(4),3,R16,158,19,1,114,78,56,17,17,3,6,14,5,107,66,54,18,17,4,6
2016-339,Brisbane,Hard,28,A,20160104,MS015,105453,2,,Kei Nishikori,R,178,JPN,26,8,4235,105062,,,Mikhail Kukushkin,R,183,KAZ,28,65,762,63 64,3,R16,89,5,2,61,40,29,13,10,5,7,3,0,58,36,23,10,9,4,6
2016-339,Brisbane,Hard,28,A,20160104,MS017,104735,,Q,Tobias Kamke,R,178,GER,,,,106093,,,Benjamin Mitchell,R,185,AUS,,,,62 64,3,R32,79,1,0,59,36,29,13,9,0,8,4,3,59,37,24,10,9,5,0
2016-339,Brisbane,Hard,28,A,20160104,MS018,104678,,,Viktor Troicki,R,193,SRB,29,22,1487,105449,,,Steve Johnson,R,188,USA,26,32,1240,76(3) 61,3,R32,71,3,2,56,34,28,13,10,1,8,3,0,62,33,20,14,9,4,3
2016-339,Brisbane,Hard,28,A,20160104,MS019,105777,,,Grigor Dimitrov,R,191,BUL,24,28,1360,104468,5,,Gilles Simon,R,183,FRA,31,15,2145,63 76(10),3,R32,126,8,6,81,46,36,18,11,6,5,2,3,91,55,36,16,10,3,7
2016-339,Brisbane,Hard,28,A,20160104,MS021,111202,,,Hyeon Chung,R,185,KOR,19,51,817,105032,,,Sam Groth,R,193,AUS,28,60,782,76(8) 64,3,R32,103,2,3,73,48,35,14,11,2,11,11,3,84,52,39,10,11,8,4
2016-339,Brisbane,Hard,28,A,20160104,MS022,106045,,,Denis Kudla,R,180,USA,23,69,719,105441,,,John-Patrick Smith,L,188,AUS,,,,46 63 62,3,R32,104,2,3,73,44,36,19,14,4,8,8,3,85,40,25,25,13,5,5
2016-339,Brisbane,Hard,28,A,20160104,MS023,106233,8,,Dominic Thiem,R,185,AUT,22,20,1600,105902,,,James Duckworth,R,183,AUS,,,,36 64 63,3,R32,114,4,2,80,48,35,21,14,2,9,14,1,93,42,32,26,14,6,4
2016-339,Brisbane,Hard,28,A,20160104,MS024,105676,6,,David Goffin,R,180,BEL,25,16,1880,105064,,,Thomaz Bellucci,L,188,BRA,28,37,1105,64 64,3,R32,82,3,4,57,30,23,16,10,1,10,7,2,66,40,25,15,10,7,2
2016-339,Brisbane,Hard,28,A,20160104,MS025,106298,,,Lucas Pouille,R,185,FRA,21,78,672,106415,,,Yoshihito Nishioka,L,170,JPN,,,,46 63 75,3,R32,144,17,2,95,64,53,15,16,2,15,4,3,120,64,42,30,15,12,4
2016-339,Brisbane,Hard,28,A,20160104,MS026,104471,,Q,Ivan Dodig,R,183,CRO,31,87,636,117352,,,Oliver Anderson,R,175,AUS,,,,63 62,3,R32,68,11,2,49,30,24,13,9,0,6,3,1,52,30,22,9,8,3,0
2016-339,Brisbane,Hard,28,A,20160104,MS028,106071,7,,Bernard Tomic,R,196,AUS,23,18,1675,103917,,,Nicolas Mahut,R,191,FRA,33,71,710,64 63,3,R32,69,8,0,59,34,28,14,10,4,6,4,1,50,29,21,10,9,3,5
2016-339,Brisbane,Hard,28,A,20160104,MS029,103285,,PR,Radek Stepanek,R,185,CZE,,,,105583,,,Dusan Lajovic,R,183,SRB,25,76,678,60 63,3,R32,68,3,2,48,25,18,16,8,2,8,0,2,46,25,15,8,7,4,2
2016-339,Brisbane,Hard,28,A,20160104,MS030,105062,,,Mikhail Kukushkin,R,183,KAZ,28,65,762,104797,,,Denis Istomin,R,188,UZB,29,61,781,62 75,3,R32,85,1,3,67,36,27,20,10,3,7,6,0,53,32,22,12,10,4,3
2016-451,Doha,Hard,32,A,20160104,MS001,104925,1,,Novak Djokovic,R,188,SRB,28,1,16585,104745,2,,Rafael Nadal,L,185,ESP,29,5,5230,61 62,3,F,73,4,1,44,33,26,8,8,1,7,3,1,43,28,14,6,7,3,1
2016-451,Doha,Hard,32,A,20160104,MS002,104925,1,,Novak Djokovic,R,188,SRB,28,1,16585,104607,3,,Tomas Berdych,R,196,CZE,30,6,4620,63 76(3),3,SF,103,4,1,69,45,35,13,11,3,5,4,4,68,40,28,13,10,3,4
2016-451,Doha,Hard,32,A,20160104,MS003,104745,2,,Rafael Nadal,L,185,ESP,29,5,5230,105011,,,Illya Marchenko,R,185,UKR,28,94,605,63 64,3,SF,78,6,0,53,37,33,8,10,1,7,6,1,54,35,27,7,9,5,1
2016-451,Doha,Hard,32,A,20160104,MS004,104925,1,,Novak Djokovic,R,188,SRB,28,1,16585,104919,8,,Leonardo Mayer,R,191,ARG,28,35,1150,63 75,3,QF,93,2,0,57,38,30,7,10,3,7,3,5,65,41,22,10,11,2,5
2016-451,Doha,Hard,32,A,20160104,MS005,104607,3,,Tomas Berdych,R,196,CZE,30,6,4620,106378,,,Kyle Edmund,R,188,GBR,,,,63 62,3,QF,81,7,2,59,30,22,19,9,4,11,1,0,59,39,22,10,8,8,4
2016-451,Doha,Hard,32,A,20160104,MS006,105011,,,Illya Marchenko,R,185,UKR,28,94,605,104871,7,,Jeremy Chardy,R,188,FRA,28,31,1255,63 76(3),3,QF,95,4,0,67,36,26,19,11,3,6,12,4,62,45,32,5,10,3,5
2016-451,Doha,Hard,32,A,20160104,MS007,104745,2,,Rafael Nadal,L,185,ESP,29,5,5230,105723,,,Andrey Kuznetsov,R,185,RUS,24,79,663,63 57 64,3,QF,128,3,0,86,56,36,15,16,0,10,8,4,88,47,33,19,15,5,4
2016-451,Doha,Hard,32,A,20160104,MS008,104925,1,,Novak Djokovic,R,188,SRB,28,1,16585,104269,,,Fernando Verdasco,L,185,ESP,32,49,900,62 62,3,R16,69,2,2,51,34,26,11,8,2,8,4,2,52,33,19,6,8,4,2
2016-451,Doha,Hard,32,A,20160104,MS009,104919,8,,Leonardo Mayer,R,191,ARG,28,35,1150,104665,,,Pablo Andujar,R,180,ESP,29,64,770,62 64,3,R16,72,6,1,48,28,26,10,9,0,5,2,0,56,38,25,8,9,2,0
2016-451,Doha,Hard,32,A,20160104,MS010,104607,3,,Tomas Berdych,R,196,CZE,30,6,4620,106000,,,Damir Dzumhur,R,175,BIH,23,82,649,60 64,3,R16,65,6,2,47,25,19,9,8,0,13,0,3,63,38,16,11,8,7,2
2016-451,Doha,Hard,32,A,20160104,MS011,106378,,Q,Kyle Edmund,R,188,GBR,,,,103926,,,Daniel Munoz de la Nava,L,178,ESP,33,75,681,57 63 76(3),3,R16,145,9,0,102,72,50,15,17,2,9,11,3,102,54,41,21,16,5,6
2016-451,Doha,Hard,32,A,20160104,MS012,104871,7,,Jeremy Chardy,R,188,FRA,28,31,1255,103908,,,Paul-Henri Mathieu,R,185,FRA,33,95,604,62 64,3,R16,67,12,1,45,32,29,8,9,2,9,1,4,56,29,22,11,9,6,2
2016-451,Doha,Hard,32,A,20160104,MS013,105011,,,Illya Marchenko,R,185,UKR,28,94,605,104559,,,Teymuraz Gabashvili,R,188,RUS,30,50,863,64 62,3,R16,79,3,1,51,31,25,13,9,0,3,3,3,58,39,27,8,9,0,0
2016-451,Doha,Hard,32,A,20160104,MS014,105723,,,Andrey Kuznetsov,R,185,RUS,24,79,663,105575,,,Ricardas Berankis,R,175,LTU,25,85,641,76(6) 61,3,R16,86,4,4,72,41,25,17,10,1,10,4,2,70,38,21,12,9,5,4
2016-451,Doha,Hard,32,A,20160104,MS015,104745,2,,Rafael Nadal,L,185,ESP,29,5,5230,104898,,,Robin Haase,R,191,NED,28,66,740,63 62,3,R16,66,1,2,53,39,30,9,9,2,6,8,0,47,33,21,4,8,3,2
2016-451,Doha,Hard,32,A,20160104,MS016,104925,1,,Novak Djokovic,R,188,SRB,28,1,16585,104460,,,Dustin Brown,R,196,GER,,,,62 62,3,R32,51,2,0,40,32,23,7,8,1,12,1,4,55,32,18,8,8,7,2
2016-451,Doha,Hard,32,A,20160104,MS017,104269,,,Fernando Verdasco,L,185,ESP,32,49,900,104291,,,Malek Jaziri,R,185,TUN,,,,76(4) 76(4),3,R32,117,12,0,77,56,42,11,12,3,11,4,5,97,57,41,17,12,9,5
2016-451,Doha,Hard,32,A,20160104,MS018,104665,,,Pablo Andujar,R,180,ESP,29,64,770,103893,,,Paolo Lorenzi,R,183,ITA,34,68,725,64 06 64,3,R32,119,1,2,84,53,35,14,13,4,4,2,3,79,51,39,11,13,1,8
2016-451,Doha,Hard,32,A,20160104,MS019,104919,8,,Leonardo Mayer,R,191,ARG,28,35,1150,103794,,,Benjamin Becker,R,178,GER,34,97,591,61 62,3,R32,64,3,4,57,36,29,9,8,2,8,1,1,45,23,11,10,7,4,2
2016-451,Doha,Hard,32,A,20160104,MS020,104607,3,,Tomas Berdych,R,196,CZE,30,6,4620,104660,,,Sergiy Stakhovsky,R,193,UKR,29,62,780,75 64,3,R32,78,3,2,61,30,26,17,11,1,5,3,0,63,42,30,10,11,2,2
2016-451,Doha,Hard,32,A,20160104,MS021,106000,,,Damir Dzumhur,R,175,BIH,23,82,649,106065,,,Marco Cecchinato,R,185,ITA,23,90,618,64 62,3,R32,61,2,3,49,33,29,8,9,1,5,5,2,55,35,21,9,9,2,1
2016-451,Doha,Hard,32,A,20160104,MS022,106378,,Q,Kyle Edmund,R,188,GBR,,,,105373,,,Martin Klizan,L,191,SVK,26,43,980,62 63,3,R32,70,7,1,49,28,22,11,9,0,11,4,5,55,33,20,7,8,7,1
2016-451,Doha,Hard,32,A,20160104,MS023,103926,,,Daniel Munoz de la Nava,L,178,ESP,33,75,681,103852,5,,Feliciano Lopez,L,188,ESP,34,17,1690,36 76(4) 75,3,R32,145,4,2,102,70,53,19,16,8,8,24,1,110,73,53,21,17,7,9
2016-451,Doha,Hard,32,A,20160104,MS024,104871,7,,Jeremy Chardy,R,188,FRA,28,31,1255,110743,,,Mubarak Shannan Zayid,R,,QAT,,,,61 61,3,R32,46,3,1,34,21,19,6,7,1,13,1,2,54,28,15,7,7,7,2
2016-451,Doha,Hard,32,A,20160104,MS025,103908,,,Paul-Henri Mathieu,R,185,FRA,33,95,604,105077,,,Albert Ramos-Vinolas,L,188,ESP,27,54,798,63 46 76(7),3,R32,165,2,7,111,72,52,18,16,5,7,8,2,103,67,48,17,15,4,8
2016-451,Doha,Hard,32,A,20160104,MS026,104559,,,Teymuraz Gabashvili,R,188,RUS,30,50,863,104620,,,Simone Bolelli,R,183,ITA,30,58,790,46 64 61,3,R32,118,2,3,77,48,36,17,14,5,9,2,1,87,55,36,15,13,5,7
2016-451,Doha,Hard,32,A,20160104,MS027,105011,,,Illya Marchenko,R,185,UKR,28,94,605,103970,4,,David Ferrer,R,175,ESP,33,7,4305,67(8) 63 62,3,R32,137,4,4,102,61,47,22,15,6,6,3,9,92,46,31,23,14,2,7
2016-451,Doha,Hard,32,A,20160104,MS028,105575,,,Ricardas Berankis,R,175,LTU,25,85,641,104312,6,,Andreas Seppi,R,191,ITA,31,29,1360,36 61 64,3,R32,129,2,1,78,50,31,13,13,4,19,7,3,106,52,27,26,13,12,9
2016-451,Doha,Hard,32,A,20160104,MS029,105723,,,Andrey Kuznetsov,R,185,RUS,24,79,663,104947,,,Marsel Ilhan,R,191,TUR,,,,62 64,3,R32,65,7,2,55,29,25,13,9,1,4,2,1,51,30,20,5,9,0,2
2016-451,Doha,Hard,32,A,20160104,MS030,104898,,,Robin Haase,R,191,NED,28,66,740,106234,,,Aslan Karatsev,R,,RUS,,,,57 61 75,3,R32,139,4,1,102,58,38,25,15,10,16,2,5,108,63,40,21,16,10,13
2016-451,Doha,Hard,32,A,20160104,MS031,104745,2,,Rafael Nadal,L,185,ESP,29,5,5230,105807,,,Pablo Carreno Busta,R,188,ESP,24,67,734,67(5) 63 61,3,R32,120,5,1,80,59,44,13,14,1,9,0,4,82,55,34,11,14,4,2
2016-891,Chennai,Hard,28,A,20160104,MS001,104527,1,,Stan Wawrinka,R,183,SUI,30,4,6865,106432,8,,Borna Coric,R,185,CRO,19,44,941,63 75,3,F,87,15,3,69,38,34,18,11,5,3,2,1,63,39,27,12,10,1,5
2016-891,Chennai,Hard,28,A,20160104,MS002,104527,1,,Stan Wawrinka,R,183,SUI,30,4,6865,105332,3,,Benoit Paire,R,196,FRA,26,19,1633,63 64,3,SF,65,6,1,61,37,26,17,10,1,4,2,3,53,29,24,10,9,2,1
2016-891,Chennai,Hard,28,A,20160104,MS003,106432,8,,Borna Coric,R,185,CRO,19,44,941,105379,,,Aljaz Bedene,R,183,GBR,26,45,939,76(5) 67(5) 63,3,SF,177,17,1,134,92,66,20,17,8,13,16,0,106,73,52,17,16,9,11
2016-891,Chennai,Hard,28,A,20160104,MS004,104527,1,,Stan Wawrinka,R,183,SUI,30,4,6865,104198,5,,Guillermo Garcia-Lopez,R,185,ESP,32,27,1430,64 64,3,QF,78,14,0,51,38,31,8,10,0,9,5,2,74,44,26,16,10,6,1
2016-891,Chennai,Hard,28,A,20160104,MS005,105332,3,,Benoit Paire,R,196,FRA,26,19,1633,105341,,,Thomas Fabbiano,R,173,ITA,,,,64 75,3,QF,89,14,5,88,39,28,19,11,6,10,0,2,72,57,33,3,11,4,10
2016-891,Chennai,Hard,28,A,20160104,MS006,106432,8,,Borna Coric,R,185,CRO,19,44,941,105138,4,,Roberto Bautista Agut,R,183,ESP,27,25,1480,36 64 76(1),3,QF,151,9,2,97,60,43,21,15,5,6,10,5,113,77,52,15,16,3,8
2016-891,Chennai,Hard,28,A,20160104,MS007,105379,,,Aljaz Bedene,R,183,GBR,26,45,939,106368,,,Ramkumar Ramanathan,R,188,IND,,,,67(5) 64 63,3,QF,138,9,2,101,63,50,24,16,3,3,6,2,96,60,43,19,15,1,3
2016-891,Chennai,Hard,28,A,20160104,MS008,104527,1,,Stan Wawrinka,R,183,SUI,30,4,6865,126094,,,Andrey Rublev,R,188,RUS,,,,63 62,3,R16,53,6,1,44,28,23,13,9,0,9,2,2,53,39,23,7,8,6,0
2016-891,Chennai,Hard,28,A,20160104,MS009,104198,5,,Guillermo Garcia-Lopez,R,185,ESP,32,27,1430,105302,,,Ante Pavic,R,196,CRO,,,,76(5) 61,3,R16,85,4,4,81,44,34,19,10,9,7,7,3,53,36,27,8,9,5,9
2016-891,Chennai,Hard,28,A,20160104,MS010,105332,3,,Benoit Paire,R,196,FRA,26,19,1633,104586,,,Lukas Rosol,R,196,CZE,30,55,797,75 75,3,R16,85,8,3,68,34,29,15,12,5,13,4,3,81,48,29,13,12,8,8
2016-891,Chennai,Hard,28,A,20160104,MS011,105341,,Q,Thomas Fabbiano,R,173,ITA,,,,104180,6,,Gilles Muller,L,193,LUX,32,38,1105,64 75,3,R16,77,0,2,61,43,31,9,11,1,6,14,5,56,38,30,6,11,2,3
2016-891,Chennai,Hard,28,A,20160104,MS012,106432,8,,Borna Coric,R,185,CRO,19,44,941,105572,,,Austin Krajicek,L,188,USA,,,,62 75,3,R16,90,3,1,53,30,24,19,10,1,10,4,1,69,44,27,13,10,7,1
2016-891,Chennai,Hard,28,A,20160104,MS013,105138,4,,Roberto Bautista Agut,R,183,ESP,27,25,1480,105357,,,John Millman,R,183,AUS,26,92,611,64 61,3,R16,76,1,1,58,34,26,13,9,1,7,2,0,55,37,23,4,8,3,2
2016-891,Chennai,Hard,28,A,20160104,MS014,105379,,,Aljaz Bedene,R,183,GBR,26,45,939,104563,,,Luca Vanni,R,198,ITA,,,,57 63 64,3,R16,132,13,2,93,53,44,23,16,6,4,11,2,85,43,36,23,15,2,7
2016-891,Chennai,Hard,28,A,20160104,MS015,106368,,WC,Ramkumar Ramanathan,R,188,IND,,,,104628,,,Alexander Kudryavtsev,R,183,RUS,,,,36 64 64,3,R16,109,9,2,85,57,43,13,15,0,7,5,3,93,57,45,16,14,5,2
2016-891,Chennai,Hard,28,A,20160104,MS017,126094,,WC,Andrey Rublev,R,188,RUS,,,,104500,,,Somdev Devvarman,R,180,IND,,,,63 36 63,3,R32,103,0,2,79,48,33,20,14,1,7,7,4,84,51,35,15,13,4,3
2016-891,Chennai,Hard,28,A,20160104,MS018,105302,,Q,Ante Pavic,R,196,CRO,,,,104597,,,Nicolas Almagro,R,183,ESP,30,73,694,36 75 76(1),3,R32,125,12,2,96,54,44,26,16,3,4,17,1,99,44,34,37,17,3,4
2016-891,Chennai,Hard,28,A,20160104,MS019,104198,5,,Guillermo Garcia-Lopez,R,185,ESP,32,27,1430,106121,,,Taro Daniel,R,191,JPN,22,96,603,46 75 62,3,R32,141,7,1,90,57,44,18,15,7,10,2,2,106,77,51,10,15,6,9
2016-891,Chennai,Hard,28,A,20160104,MS021,104586,,,Lukas Rosol,R,196,CZE,30,55,797,105053,,,Santiago Giraldo,R,188,COL,28,70,716,63 64,3,R32,85,10,5,69,37,32,15,10,6,10,3,0,70,45,30,11,9,8,6
2016-891,Chennai,Hard,28,A,20160104,MS022,105341,,Q,Thomas Fabbiano,R,173,ITA,,,,106075,,,Jozef Kovalik,R,183,SVK,,,,16 63 64,3,R32,118,0,3,105,78,45,12,13,10,14,4,1,86,63,38,11,13,9,15
2016-891,Chennai,Hard,28,A,20160104,MS023,104180,6,,Gilles Muller,L,193,LUX,32,38,1105,111575,,,Karen Khachanov,R,198,RUS,,,,67(3) 76(4) 62,3,R32,136,19,5,98,57,47,28,16,0,9,9,0,107,67,50,24,16,7,0
2016-891,Chennai,Hard,28,A,20160104,MS024,106432,8,,Borna Coric,R,185,CRO,19,44,941,104719,,,Marcel Granollers,R,191,ESP,29,84,645,76(5) 26 64,3,R32,151,3,0,92,61,41,19,15,4,8,5,1,112,73,46,22,15,6,7
2016-891,Chennai,Hard,28,A,20160104,MS025,105572,,,Austin Krajicek,L,188,USA,,,,104330,,,Rajeev Ram,R,193,USA,31,89,623,67(0) 64 64,3,R32,139,9,2,93,62,45,21,16,3,4,11,1,101,68,55,14,16,2,3
2016-891,Chennai,Hard,28,A,20160104,MS026,105357,,,John Millman,R,183,AUS,26,92,611,105539,,,Evgeny Donskoy,R,185,RUS,25,91,615,67(5) 64 76(6),3,R32,158,6,5,102,60,40,24,17,4,12,5,1,124,61,37,33,17,6,9
2016-891,Chennai,Hard,28,A,20160104,MS028,105379,,,Aljaz Bedene,R,183,GBR,26,45,939,105577,7,,Vasek Pospisil,R,193,CAN,25,39,1075,75 76(6),3,R32,107,2,3,75,46,36,16,12,0,3,8,2,74,43,31,18,12,1,1
2016-891,Chennai,Hard,28,A,20160104,MS029,104563,,,Luca Vanni,R,198,ITA,,,,105526,,,Jan-Lennard Struff,R,196,GER,,,,64 76(5),3,R32,89,11,2,66,37,30,13,11,2,5,4,3,77,49,35,13,11,2,4
2016-891,Chennai,Hard,28,A,20160104,MS030,106368,,WC,Ramkumar Ramanathan,R,188,IND,,,,104593,,,Daniel Gimeno-Traver,R,183,ESP,30,98,590,62 60,3,R32,60,3,0,35,24,20,8,7,0,10,1,3,58,39,20,6,7,5,0
2016-338,Sydney,Hard,28,A,20160111,MS001,104678,3,,Viktor Troicki,R,193,SRB,29,22,1487,105777,4,,Grigor Dimitrov,R,191,BUL,24,28,1315,26 61 76(7),3,F,137,9,0,109,67,47,17,14,11,7,4,4,83,58,38,8,13,3,15
2016-338,Sydney,Hard,28,A,20160111,MS002,104678,3,,Viktor Troicki,R,193,SRB,29,22,1487,104559,,,Teymuraz Gabashvili,R,188,RUS,30,50,863,36 64 64,3,SF,124,11,0,89,59,40,16,15,2,10,6,5,86,48,33,18,14,5,7
2016-338,Sydney,Hard,28,A,20160111,MS003,105777,4,,Grigor Dimitrov,R,191,BUL,24,28,1315,104180,,,Gilles Muller,L,193,LUX,32,38,1105,62 76(4),3,SF,106,7,0,62,43,35,14,10,3,2,12,1,68,42,32,12,10,0,3
2016-338,Sydney,Hard,28,A,20160111,MS004,104559,,,Teymuraz Gabashvili,R,188,RUS,30,50,863,106071,1,,Bernard Tomic,R,196,AUS,23,17,1720,63 30 (RET),3,QF,50,4,2,41,19,16,11,6,1,6,3,1,37,21,11,6,6,3,1
2016-338,Sydney,Hard,28,A,20160111,MS005,104678,3,,Viktor Troicki,R,193,SRB,29,22,1487,103917,,,Nicolas Mahut,R,191,FRA,33,71,710,46 63 63,3,QF,105,6,3,80,53,37,17,14,3,9,4,4,83,55,40,11,14,5,5
2016-338,Sydney,Hard,28,A,20160111,MS006,105777,4,,Grigor Dimitrov,R,191,BUL,24,28,1315,105238,8,,Alexandr Dolgopolov,R,180,UKR,27,36,1135,46 63 64,3,QF,135,10,3,92,60,47,17,15,4,15,8,6,111,66,44,21,14,12,6
2016-338,Sydney,Hard,28,A,20160111,MS007,104180,,,Gilles Muller,L,193,LUX,32,38,1105,104871,6,,Jeremy Chardy,R,188,FRA,28,31,1255,76(5) 63,3,QF,1147,14,5,59,35,32,13,10,0,3,2,5,69,44,34,10,11,1,0
2016-338,Sydney,Hard,28,A,20160111,MS008,106071,1,,Bernard Tomic,R,196,AUS,23,17,1720,111442,,,Jordan Thompson,R,183,AUS,,,,62 62,3,R16,49,6,0,39,25,23,9,8,0,5,4,0,38,23,14,6,8,1,0
2016-338,Sydney,Hard,28,A,20160111,MS009,104559,,,Teymuraz Gabashvili,R,188,RUS,30,50,863,105643,,,Federico Delbonis,L,191,ARG,25,52,815,63 63,3,R16,75,4,0,55,35,28,12,9,3,5,2,4,53,31,21,11,9,2,3
2016-338,Sydney,Hard,28,A,20160111,MS010,104678,3,,Viktor Troicki,R,193,SRB,29,22,1487,103990,,,Tommy Robredo,R,180,ESP,33,43,1000,61 64,3,R16,61,8,4,46,26,24,11,9,2,7,1,1,50,24,17,9,8,3,3
2016-338,Sydney,Hard,28,A,20160111,MS011,103917,,Q,Nicolas Mahut,R,191,FRA,33,71,710,104312,5,,Andreas Seppi,R,191,ITA,31,29,1270,63 16 63,3,R16,90,7,1,65,34,27,13,13,3,6,8,2,65,40,27,13,12,2,7
2016-338,Sydney,Hard,28,A,20160111,MS012,105238,8,,Alexandr Dolgopolov,R,180,UKR,27,36,1135,105512,,,Alexander Sarkissian,R,191,USA,,,,76(6) 62,3,R16,79,10,1,59,38,32,11,10,2,9,4,4,77,43,28,17,10,6,3
2016-338,Sydney,Hard,28,A,20160111,MS013,105777,4,,Grigor Dimitrov,R,191,BUL,24,28,1315,104655,,,Pablo Cuevas,R,180,URU,30,41,1065,76(2) 64,3,R16,98,6,4,70,38,31,20,11,3,9,7,3,77,40,27,24,11,8,3
2016-338,Sydney,Hard,28,A,20160111,MS014,104871,6,,Jeremy Chardy,R,188,FRA,28,31,1255,105902,,,James Duckworth,R,183,AUS,,,,76(5) 64,3,R16,94,8,5,77,52,38,14,11,5,5,11,3,75,39,25,22,11,3,6
2016-338,Sydney,Hard,28,A,20160111,MS015,104180,,,Gilles Muller,L,193,LUX,32,38,1105,106233,2,,Dominic Thiem,R,185,AUT,22,20,1645,76(2) 22 (RET),3,R16,59,2,1,49,39,27,5,8,2,2,5,1,49,32,27,10,8,1,3
2016-338,Sydney,Hard,28,A,20160111,MS017,111442,,WC,Jordan Thompson,R,183,AUS,,,,105373,,,Martin Klizan,L,191,SVK,26,45,955,62 40 (RET),3,R32,57,5,1,32,18,15,9,6,0,8,1,10,48,20,13,9,6,4,0
2016-338,Sydney,Hard,28,A,20160111,MS018,105643,,,Federico Delbonis,L,191,ARG,25,52,815,105032,,,Sam Groth,R,193,AUS,28,66,747,76(4) 76(5),3,R32,103,5,2,74,40,30,23,12,1,4,16,4,78,48,40,14,12,2,3
2016-338,Sydney,Hard,28,A,20160111,MS019,104559,,,Teymuraz Gabashvili,R,188,RUS,30,50,863,104919,7,,Leonardo Mayer,R,191,ARG,28,35,1150,64 63,3,R32,93,5,6,57,33,26,8,9,3,14,7,4,81,48,29,13,10,9,5
